Opportunity ID,Account ID 18 Digits,Opportunity Owner,Amount (converted),Stage,Created Date,Close Date,Age,Lead Source,Employees,Industry,Market Segment,Reporting Manager,Territory,Month&Year,Created Month & Year
00606000012bOWP,0010600001z5eEbAAI,AE 4,17584.5,Closed Lost,2/8/2022,9/14/2022,218,Partner Referral,,Financial Services,,Director of Sales 2,EMEA,Sep 2022,Feb 2022
00606000012wXFJ,00106000020rvjAAAQ,Director of Sales 1,2941.41,Closed Lost,8/22/2022,9/14/2022,22,Inbound,,online media,,Director of Sales 1,APAC,Sep 2022,Aug 2022
00606000012bc9p,0010600001zzdQ6AAI,AE 5,4103.05,Closed Lost,3/2/2022,9/14/2022,196,Inbound,,Mobility & Transportation,,Director of Sales 2,EMEA,Sep 2022,Mar 2022
00606000012xp2t,00106000020snP7AAI,AE 6,5861.5,Closed Won,5/4/2022,9/17/2022,136,Customer Referral,162,,Corporate,Director of Sales 2,EMEA,Sep 2022,May 2022
00606000012bG4r,0010600001z4mYJAAY,AE 5,4103.05,Closed Lost,1/26/2022,9/17/2022,234,Inbound,,Financial Services - Banking,,Director of Sales 2,EMEA,Sep 2022,Jan 2022
00606000012wgVH,00106000022nLzWAAU,AE 5,4689.2,Closed Lost,9/14/2022,9/20/2022,6,Inbound,,utilities,,Director of Sales 2,EMEA,Sep 2022,Sep 2022
00606000012bE8X,0010600001z4Y4xAAE,AE 5,6250,Closed Won,1/22/2022,9/23/2022,244,Inbound,374,Agencies / Consultancies / Software Providers,Corporate,Director of Sales 2,EMEA,Sep 2022,Jan 2022
00606000012ytpH,00106000021g6dQAAQ,AE 5,17584.5,Closed Lost,7/20/2022,9/27/2022,69,Inbound,,media production,,Director of Sales 2,EMEA,Sep 2022,Jul 2022
00606000012wiOL,00106000022ng5iAAA,Director of Sales 1,3000,Closed Won,9/17/2022,9/28/2022,11,Outbound,446,Financial Services,Corporate,Director of Sales 1,APAC,Sep 2022,Sep 2022
00606000012yhnL,00106000021ejeeAAA,AE 6,5275.35,Closed Lost,6/30/2022,9/29/2022,91,Partner Referral,,Other Consumer Goods,,Director of Sales 2,EMEA,Sep 2022,Jun 2022
00606000012xjmp,00106000020sI5IAAU,AE 6,4103.05,Closed Lost,4/28/2022,9/29/2022,154,Inbound,,,,Director of Sales 2,EMEA,Sep 2022,Apr 2022
00606000012yQi3,00106000021cKFkAAM,Executive 1,164122,Closed Won,6/14/2022,9/29/2022,107,Outbound,74565,sporting goods,Enterprise,IC,Other,Sep 2022,Jun 2022
00606000012z0Ro,00106000022Ae1nAAC,AE 6,1758.45,Closed Lost,8/6/2022,9/29/2022,54,Inbound,,automotive,,Director of Sales 2,EMEA,Sep 2022,Aug 2022
00606000012yQzs,00106000021cLkZAAU,AE 6,4103.05,Closed Lost,6/14/2022,9/29/2022,107,Inbound,,luxury goods & jewelry,,Director of Sales 2,EMEA,Sep 2022,Jun 2022
00606000012yrTq,00106000021fjdzAAA,AE 6,5275.35,Closed Won,7/14/2022,9/29/2022,77,Inbound,141,Retail,Corporate,Director of Sales 2,EMEA,Sep 2022,Jul 2022
00606000012xtDc,00106000020tG41AAE,AE 6,4103.05,Closed Lost,5/10/2022,9/29/2022,142,Inbound,,Financial Services,,Director of Sales 2,EMEA,Sep 2022,May 2022
00606000012xpX2,00106000020srdrAAA,AE 6,4103.05,Closed Lost,5/5/2022,9/29/2022,147,Inbound,,transportation/trucking/railroad,,Director of Sales 2,EMEA,Sep 2022,May 2022
00606000012bQ4d,0010600001z5m4OAAQ,AE 6,4103.05,Closed Lost,2/10/2022,9/29/2022,231,Inbound,,Food & Beverage - Grocery Shops,,Director of Sales 2,EMEA,Sep 2022,Feb 2022
00606000012xF7Y,0010600001xF09NAAS,AE 6,2930.75,Closed Lost,3/22/2022,9/29/2022,191,Inbound,,,,Director of Sales 2,EMEA,Sep 2022,Mar 2022
